Skill,Type,Effect,skill_max_level
Adaptability,Armor,"Grants protection against environmental damage, such as from heat or cold.Lv. 1:Negates the effects of heat and cold.Lv. 2:Negates environmental damage.",2
Adrenaline Rush,Armor,Temporarily increases attack power after executing a perfectly-timed evade just as a monster attacks.Lv. 1:Attack +10 while active.Lv. 2:Attack +15 while active.Lv. 3:Attack +20 while active.Lv. 4:Attack +25 while active.Lv. 5:Attack +30 while active.,5
Agitator,Armor,Increases attack power and affinity when large monsters become enraged.Lv. 1:Attack +4 and affinity +3% while active.Lv. 2:Attack +8 and affinity +5% while active.Lv. 3:Attack +12 and affinity +7% while active.Lv. 4:Attack +16 and affinity +10% while active.Lv. 5:Attack +20 and affinity +15% while active.,5
Ambush,Armor,Temporarily increases the damage to large monsters with a successful Sneak Attack.Lv. 1:Attack +5% while active.Lv. 2:Attack +10% while active.Lv. 3:Attack +15% while active.,3
Antivirus,Armor,"Once infected, makes it easier to overcome the Frenzy and increases affinity if cured.Lv. 1:Slightly increases recovery rate after contracting the Frenzy. Affinity +3% if cured.Lv. 2:Increases recovery rate after contracting the Frenzy. Affinity +6% if cured.Lv. 3:Greatly increases recovery rate after contracting the Frenzy. Affinity +10% if cured.",3
Aquatic/Oilsilt Mobility,Armor,"Grants resistance against impairments to mobility while in water, oilsilt, or streams.Lv. 1:Negates the effects of muddy streams, and prevents you from being slowed down in water or oilsilt.Lv. 2:Also negates the effects of waves.",2
Bind Resistance,Armor,Grants protection against webbed status and frostblight.Lv. 1:Allows you to quickly recover from webbed status or frostblight.Lv. 2:Allows you to very quickly recover from webbed status or frostblight.Lv. 3:Prevents webbed status and frostblight.,3
Blast Resistance,Armor,Grants protection against blastblight.Lv. 1:Delays blastblight and reduces blast damage.Lv. 2:Greatly delays blastblight and greatly reduces blast damage.Lv. 3:Prevents blastblight.,3
Bleeding Resistance,Armor,Grants protection against bleeding.Lv. 1:Reduces damage while bleeding.Lv. 2:Greatly reduces damage while bleeding.Lv. 3:Prevents bleeding.,3
Blight Resistance,Armor,Grants protection against all elemental blights.Lv. 1:Reduces the duration of all elemental blights by 50%.Lv. 2:Reduces the duration of all elemental blights by 75%Lv. 3:Nullifies all elemental blights.,3
Blindsider,Armor,Improves the effectiveness of flash attacks and items.Lv. 1:Improves the effectiveness of flash attacks and items.,1
Bombardier,Armor,Increases the damage of explosive items.Lv. 1:Explosive power +10%Lv. 2:Explosive power +20%Lv. 3:Explosive power +30%,3
Botanist,Armor,"Increases the quantity of herbs and other consumable items you gatherLv. 1:One extra consumbale herb item per gather.Lv. 2:Additionally adds one extra consumable fruit, nut, or seed item per gather.Lv. 3:Additionally adds one extra consumable insect item per gather.Lv. 4:Additionally adds one extra consumable mushroom item per gather.",4
Burst,Armor,"Continuously landing hits gradually increases attack and elemental attack. (Amount increased depends on weapon.)Lv. 1:On first hit, gain a small temporary attack and element boost, replaced by a larger boost after the fifth hit.Lv. 2:Hit 5 successive times for a moderate stat boost.Lv. 3:Hit 5 successive times for a bigger stat boost.Lv. 4:Hit 5 successive times for an even bigger stat boost.Lv. 5:Hit 5 successive times for a huge stat boost.",5
Cliffhanger,Armor,Decrease stamina depletion when climbing on vines.Lv. 1:Reduces stamina depletion while climbing by 50%.,1
Coalescence,Armor,"Temporarily increases elemental attack power and status effects after recovering from blights or abnormal status.Lv. 1:When active, grants a slight increase to elemental damage and status buildup.Lv. 2:When active, grants an increase to elemental damage and status buildup.Lv. 3:When active, grants a large increase to elemental damage and status buildup.",3
Constitution,Armor,"Reduces stamina depletion when evading, blocking, or doing certain other actions.Lv. 1:Reduces fixed stamina depletion by 10%.Lv. 2:Reduces fixed stamina depletion by 20%.Lv. 3:Reduces fixed stamina depletion by 30%.Lv. 4:Reduces fixed stamina depletion by 40%.Lv. 5:Reduces fixed stamina depletion by 50%.",5
Convert Element,Armor,"After taking elemental damage, temporarily grants you dragon element effects. (Cooldown after effect ends.)Lv. 1:While active, deals extra dragon damage after dealing enough elemental damage. Slightly increases dragon attack.Lv. 2:Increases additional dragon damage and increases dragon attack.Lv. 3:Further increases additional dragon damage and greatly increases dragon attack.",3
Counterstrike,Armor,Temporarily increases attack power after being knocked back.Lv. 1:Attack +10 while active.Lv. 2:Attack +15 while active. Moderately extends effect time.Lv. 3:Attack +25 while active. Extends effect time.,3
Defense Boost,Armor,Increases defense. Also improves resistances at higher levels.Lv. 1:Defense +5Lv. 2:Defense +10Lv. 3:Defense +5%Bonus: +10Lv. 4:Defense +5%Bonus: +20All elemental resistances +3Lv. 5:Defense +8%Bonus: +20All elemental resistances +3,5
Divine Blessing,Armor,"Has a predetermined chance of reducing the damage you take.Lv. 1:While active, reduces damage taken by 15%.Lv. 2:While active, reduces damage taken by 30%.Lv. 3:While active, reduces damage taken by 50%.",3
Dragon Resistance,Armor,"Increases dragon resistance. Also improves defense at higher levels.Lv. 1:Dragon resistance +6Lv. 2:Dragon resistance +12Lv. 3:Dragon resistance +20, Defense +10",3
Earplugs,Armor,Grants protection from large monsters' roars.Lv. 1:Reduces the effects of weak monster roars.Lv. 2:Nullifies weak monster roars and reduces the effects of strong monster roars.Lv. 3:Nullifies weak and strong monster roars.,3
Elemental Absorption,Armor,"After taking elemental damage, temporarily grants you element effects. (Cooldown after effect ends)Lv. 1:While active, slightly increases elemental attack, and resistance to element taken at activation by 4.Lv. 2:While active, moderately increases elemental attack, and resistance to element taken at activation by 6.Lv. 3:While active, increases elemental attack, and resistance to element taken at activation by 8.",3
Entomologist,Armor,"The bodies of small insect monsters won't be destroyed, allowing them to be carved.Lv. 1:Activates the skill effect.",1
Evade Extender,Armor,Increases evade distance.Lv. 1:Slightly extends evasion distance.Lv. 2:Extends evasion distance.Lv. 3:Greatly extends evasion distance.,3
Evade Window,Armor,Extends the invulnerability period when evading.Lv. 1:Very slightly increases invulnerability window.Lv. 2:Slightly increases invulnerability window.Lv. 3:Increases invulnerability window.Lv. 4:Greatly increases invulnerability window.Lv. 5:Massively increases invulnerability window.,5
Fire Resistance,Armor,"Increases fire resistance. Also improves defense at higher levels.Lv. 1:Fire resistance +6Lv. 2:Fire resistance +12Lv. 3:Fire resistance +20, Defense +10",3
